#['main.py', '--data-set=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--save-onnx', '--oracle-steps=50', '--oracle-restarts=80', "--input-region=AlsomitraInputRegion(theta='(-0.786, -0.747)', y='(-2 - x, 2 - x)')", '--output-constraint=AlsomitraOutputConstraint(e_x=(0.184, 0.19))', '--logic=GD', '--experiment-name=AlsomitraProperty2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41328921914100647,0.49162399768829346,0.8566048741340637,0.007714514620602131,0.0,0.0,0.0,2.4079349040985107
1,0.2709985044267442,0.1870748864279853,0.4686027103000217,0.9994959235191345,1.0005040168762207,0.006175292862786187,0.23958333333333334,0.0,0.1775183081626892,0.0010657422244548798,0.11751362681388855,0.005055954214185476,0.953125,0.046875,30.933323621749878,2.443507671356201
2,0.12432351377275255,0.0001603498434027036,0.017106624113188848,1.0032639503479004,0.9967361092567444,0.004202800492445628,0.9947916666666666,0.8350694444444444,0.10509991645812988,0.0,0.0,0.003890297142788768,1.0,1.0,26.494959115982056,2.099151611328125
3,0.1078723602824741,2.5645415816042158e-05,0.013711942566765679,1.0055840015411377,0.9944159984588623,0.003925327625539567,0.9947916666666666,0.7552083333333334,0.10133440047502518,0.0,0.015237051993608475,0.0038199706468731165,1.0,0.734375,25.396536350250244,2.0428755283355713
4,0.10118148724238078,0.0,0.004869326949119568,1.0076730251312256,0.9923269748687744,0.0038054026663303375,1.0,0.8958333333333334,0.09356729686260223,0.0,0.0,0.003670655656605959,1.0,1.0,25.719318628311157,2.0361685752868652
5,0.09386210309134589,0.0,0.0,1.0089949369430542,0.9910051226615906,0.003672796818945143,1.0,1.0,0.09169407188892365,0.0,0.0,0.003633726155385375,1.0,1.0,27.288254261016846,2.441605567932129
6,0.09039912621180217,0.0,0.0,1.009974479675293,0.990025520324707,0.003603400041659673,1.0,1.0,0.0878358781337738,0.0,0.0,0.0035564571153372526,1.0,1.0,30.763288736343384,2.4441161155700684
7,0.08513057894176906,0.0,0.0,1.0109121799468994,0.9890879392623901,0.0034970533516671923,1.0,1.0,0.08218929171562195,0.0,0.0,0.0034402436576783657,1.0,1.0,30.774375677108765,2.4341580867767334
8,0.08120826880137126,0.0,0.0,1.0116866827011108,0.9883132576942444,0.0034113958891895083,1.0,1.0,0.07664518803358078,0.0,0.0,0.0033221866469830275,1.0,1.0,30.694626331329346,2.431668281555176
9,0.07465479109022352,0.0,0.0,1.012451410293579,0.9875485301017761,0.003270649661620458,1.0,1.0,0.07101165503263474,0.0,0.0,0.0031977638136595488,1.0,1.0,30.606642723083496,2.429866313934326
10,0.07109849982791477,0.0,0.0001932553326090177,1.0132873058319092,0.9867127537727356,0.003194416355755594,1.0,0.9878472222222222,0.0658126100897789,0.0,0.0010548848658800125,0.0030784783884882927,1.0,0.953125,30.672709703445435,2.4084999561309814
11,0.0675918526119656,0.0,0.001989778752128283,1.014129877090454,0.9858701825141907,0.003108870858947436,1.0,0.9184027777777778,0.06174826622009277,0.0001468714326620102,0.001097278669476509,0.0029819062910974026,0.984375,0.953125,30.552980661392212,2.4393465518951416
12,0.06371403402752346,0.0,0.00137948596643077,1.014913558959961,0.9850863218307495,0.0030167591240670946,1.0,0.9461805555555556,0.05830444023013115,0.0,0.003643088974058628,0.00289755966514349,1.0,0.890625,30.628050327301025,2.3978824615478516
13,0.05801031324598524,2.2140952448050182e-05,0.0033685540159543357,1.0157431364059448,0.9842569231987,0.0028813497887717355,0.9982638888888888,0.890625,0.05505557358264923,0.0,0.0024711759760975838,0.002815673127770424,1.0,0.90625,30.698211908340454,2.4322924613952637
14,0.05570173263549805,0.0,0.0013148517658313115,1.016517996788025,0.9834820032119751,0.002830771936310662,1.0,0.953125,0.05196688324213028,0.0,0.0032444456592202187,0.002735551679506898,1.0,0.875,30.645410299301147,2.4267849922180176
15,0.053489228089650474,0.0,0.003425753571920925,1.0174001455307007,0.9825997352600098,0.0027690687113338048,1.0,0.8663194444444444,0.05015023052692413,0.0,0.0002858862280845642,0.0026873117312788963,1.0,0.984375,30.52841854095459,2.4171574115753174
16,0.052023225360446505,0.0,0.000642094761133194,1.0183686017990112,0.9816313982009888,0.002734005865123537,1.0,0.9670138888888888,0.04780280962586403,0.0,0.001414882019162178,0.0026236644480377436,1.0,0.9375,30.598628997802734,2.437608480453491
17,0.04985507991578844,0.0,0.002319471910595894,1.0191965103149414,0.980803370475769,0.0026711297945843804,1.0,0.9097222222222222,0.04455849900841713,0.0,0.0018172245472669601,0.0025330681819468737,1.0,0.921875,30.556293964385986,2.4115512371063232
18,0.047527564896477595,0.0,0.001070390972826216,1.0199791193008423,0.9800207614898682,0.0026102852490213183,1.0,0.9496527777777778,0.04258550703525543,0.0,0.00032495055347681046,0.002476352732628584,1.0,0.96875,30.560924768447876,2.425588369369507
19,0.043807503249910146,2.106341222922007e-06,0.0022576351960500083,1.020893931388855,0.9791061878204346,0.002505847563346227,0.9982638888888888,0.8888888888888888,0.04028019309043884,0.0,0.001062852330505848,0.002408393193036318,1.0,0.953125,30.3506338596344,2.4185614585876465
