#['../main.py', '--dataset=fashion', '--epochs=100', '--batch-size=512', '--lr=1e-3', '--save-onnx', '--save-imgs', '--epsilon=0.1', '--oracle-steps=20', '--oracle-restarts=2', '--constraint=ClothingFootwear', '--seed=0', '--logic=QLL_5']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Grad,Train-C-Grad,Train-C-Weight,Train-Weighted-C-Grad,Train-Grad-Ratio,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss-self,Test-C-Loss-common,Test-P-Metric,Test-C-Acc,Test-C-Sec-self,Test-C-Sec-common,Train-Time,Test-Time
0,0.0,-1,,-1,-1,-1,-1,-1,0.0,-1,0.0,2.30795,0.434841748046875,0.54273271484375,0.54271201171875,0.0515,0.29,0.2,0.2,0.0,10.653228521347046
1,1.2846344770011255,-1,0.4097197581145723,0.7283492654056872,0.4162794856701867,0.9185831102274232,0.3641746327028436,0.5,0.553909560381356,-1,0.7859507415254238,0.739232568359375,0.3131135498046875,0.3847998779296875,0.384821728515625,0.7356,0.9972,0.9302,0.9303,34.33502674102783,10.979467868804932
2,0.6777237067788334,-1,0.37879869493387514,1.1399912430068193,0.48790214021327133,1.3251827692581435,0.5699956215034097,0.5,0.7589490858174986,-1,0.933494438559322,0.64584482421875,0.312036181640625,0.3624840087890625,0.36244052734375,0.7622,0.9984,0.9501,0.95,32.229894161224365,11.090384244918823
3,0.6148583363678496,-1,0.3709697723388672,1.1032410961086467,0.46365437265169823,1.3625343452065677,0.5516205480543234,0.5,0.7813769195039394,-1,0.946145591089281,0.607629443359375,0.311950146484375,0.3588441162109375,0.35890791015625,0.778,0.9981,0.9566,0.9566,32.1132378578186,9.756707906723022
4,0.5946522082312632,-1,0.361268447617353,1.147855855650821,0.38399049791239076,1.6967892404329978,0.5739278631695246,0.5,0.7881741927841962,-1,0.9543277934446173,0.589243994140625,0.311964599609375,0.3518576416015625,0.3519169189453125,0.7893,0.9981,0.9645,0.9645,30.428627967834473,10.106484651565552
5,0.5796202966722391,-1,0.35503810947224246,1.1956479347358315,0.316260483305333,2.1753410727290783,0.5978239673679158,0.5,0.793846001059322,-1,0.9603802309197894,0.58188466796875,0.3120481201171875,0.3467212890625,0.346687158203125,0.7869,0.9981,0.9701,0.9699,31.134898900985718,10.096614122390747
6,0.5688852859755694,-1,0.3501675815905555,1.131513951188427,0.30058973926608845,2.2101973194186972,0.5657569755942135,0.5,0.7970460148180946,-1,0.9652851557327529,0.57324775390625,0.312071728515625,0.342883984375,0.3430109619140625,0.7872,0.9982,0.9738,0.9741,31.8713116645813,10.181510925292969
7,0.566224502304853,-1,0.3409149687168962,1.2389607833603682,0.22936075824802205,3.0317791437698625,0.6194803270242982,0.5,0.7978515625,-1,0.9709237955384336,0.556472998046875,0.3116921142578125,0.336867333984375,0.3368511474609375,0.7967,0.9989,0.9779,0.978,31.638729572296143,9.35757851600647
8,0.5526430162332826,-1,0.3411094536215572,1.1705913220421742,0.2353153552039195,2.901011838751324,0.5852956610210871,0.5,0.802977157851397,-1,0.9734010858050848,0.553321484375,0.311793603515625,0.336373583984375,0.3364005615234375,0.8005,0.9987,0.979,0.9791,32.2136390209198,10.192407369613647
9,0.5458121218923795,-1,0.33918464789956304,1.2075841871358581,0.22101179219908634,3.0282414323192532,0.6037919642561573,0.5,0.8049192266949152,-1,0.9748411016949152,0.54839951171875,0.311842919921875,0.3340091552734375,0.333994580078125,0.8029,0.9988,0.9801,0.9797,32.18247723579407,9.825231552124023
10,0.5406639293088751,-1,0.3367703647936805,1.2799121404098253,0.197874376329325,3.5689891233282576,0.6399560055490268,0.5,0.8075289322158038,-1,0.9769486896062302,0.5469126953125,0.3117861572265625,0.33546025390625,0.3353546875,0.7998,0.9986,0.9793,0.9796,32.48275136947632,9.609769582748413
11,0.5323908854339082,-1,0.3344608565508309,1.1921435857223253,0.19002720461053363,3.457678067482124,0.5949302285404529,0.49917841765840176,0.8094158495886851,-1,0.9781294353937698,0.53849931640625,0.311732666015625,0.3354240966796875,0.335499365234375,0.7998,0.9991,0.9811,0.9812,31.745503902435303,9.918309926986694
12,0.526186829906399,-1,0.3345143269684355,1.1853534245895128,0.19190744626320014,3.4010537357653603,0.5858867451296015,0.49719167159775557,0.8117055084745762,-1,0.9785321769067796,0.525485498046875,0.3118553466796875,0.3333597412109375,0.3333235595703125,0.8093,0.999,0.9827,0.9829,32.732306241989136,9.902208089828491
13,0.5177975347486593,-1,0.334649393113993,1.1821555444749736,0.18663938166731495,3.554797673629502,0.5910777075816009,0.5,0.8160090042372882,-1,0.978659096410719,0.516395263671875,0.311897216796875,0.3321263916015625,0.332129931640625,0.8169,0.9994,0.9828,0.9829,32.85100317001343,10.430370807647705
14,0.5105228100792837,-1,0.3337521310579979,1.1965303582660223,0.18292688919326006,3.7741745770987816,0.59664503194518,0.4989205376576569,0.817134533898305,-1,0.9799114809197894,0.5112470703125,0.3121162353515625,0.3339005615234375,0.333946728515625,0.8174,0.999,0.9827,0.9826,31.61950993537903,10.537296533584595
15,0.5091198420120497,-1,0.3327985860533633,1.2152931084067136,0.17331234883453886,3.925128484176377,0.6011699741169557,0.496865805933031,0.8205000667248742,-1,0.9798232256355932,0.508808349609375,0.3119689697265625,0.3316976318359375,0.331709716796875,0.8192,0.9992,0.983,0.9829,32.763396978378296,9.775304079055786
16,0.5033332372115831,-1,0.3317181538727324,1.2143699516684323,0.16685789722507283,4.000648886470471,0.6071849758342162,0.49999996767205707,0.8235401218220338,-1,0.980860500012414,0.49920244140625,0.3121285888671875,0.3319936767578125,0.3320849853515625,0.8224,0.9992,0.9834,0.9836,31.870752573013306,10.563062906265259
17,0.49972362841589973,-1,0.33232035879361427,1.2552359629485568,0.1749331425812285,4.091570579399497,0.623637183237884,0.4982565217098947,0.8236283771062302,-1,0.9801487680208885,0.499689501953125,0.3122395263671875,0.331313916015625,0.331323095703125,0.8235,0.999,0.984,0.9838,33.88746094703674,10.577168464660645
18,0.4945455971410719,-1,0.33121464616161284,1.1664026551327462,0.16824266466043764,3.867862507448358,0.5830836538541115,0.49992787635932534,0.8263925455384336,-1,0.9810370105808064,0.493288623046875,0.3119845703125,0.3308293212890625,0.3308486328125,0.8252,0.9994,0.9838,0.9839,31.87389850616455,10.232969522476196
19,0.4886266740701966,-1,0.33083870451329117,1.1555752511751853,0.16400422888287045,3.8783388299457098,0.576474787825245,0.49932922751216563,0.8284008866649563,-1,0.9814839120638572,0.490421533203125,0.312204931640625,0.329391748046875,0.3293423095703125,0.8242,0.9993,0.9853,0.9852,33.06464910507202,10.36093521118164
20,0.4865453041205972,-1,0.33110240354376325,1.1387281256206965,0.16521727028539626,4.078245518571239,0.5596137612552966,0.493586297762596,0.8285939491401284,-1,0.981643935381356,0.4838564453125,0.312486962890625,0.3309121826171875,0.3309208740234375,0.8266,0.9989,0.9846,0.9845,32.964611768722534,9.745004653930664
21,0.4794533293125993,-1,0.3316437349481098,1.1242162413516288,0.16966609631554555,3.7877248990333685,0.5597910476943194,0.49787796149819585,0.831005031779661,-1,0.9818701663259732,0.482648681640625,0.312584228515625,0.333461279296875,0.33335595703125,0.8244,0.9988,0.9853,0.985,32.07127809524536,10.504030227661133
22,0.4778969974841102,-1,0.33055777468923797,1.1844562595173465,0.1666543443324202,4.084160497633078,0.591795517226397,0.49962202169127384,0.8326326143943658,-1,0.98251569069038,0.485993359375,0.3125572021484375,0.3328561767578125,0.3328831787109375,0.821,0.9986,0.9846,0.9849,32.92186880111694,10.312272071838379
23,0.47563656305862684,-1,0.32918273796469477,1.2035764273950609,0.16184024487511586,4.19666354939089,0.590049614340572,0.49430084228515625,0.8327981334621624,-1,0.9824439226570776,0.48025947265625,0.312612646484375,0.3313621337890625,0.3314719970703125,0.826,0.9991,0.9853,0.9851,32.63284349441528,10.804904460906982
24,0.47197170580847786,-1,0.3302990864899199,1.0935206009169756,0.16380466849116956,3.8412191100039723,0.5450299149852688,0.4988395561606197,0.8332229872881356,-1,0.9830177436440678,0.4727326171875,0.312531396484375,0.3309341796875,0.33094296875,0.8291,0.9992,0.9852,0.9849,32.77164387702942,10.210607528686523
25,0.47054497670319123,-1,0.3297522270073325,1.1902659787970074,0.1626991336628542,4.236531403105138,0.5893288951809124,0.49598318843518274,0.8346961069915254,-1,0.9833156779661016,0.47703984375,0.312542138671875,0.3314140625,0.331322314453125,0.8246,0.999,0.9845,0.9842,32.696815490722656,10.249160289764404
26,0.47000636084605074,-1,0.3290452148954747,1.2404310582047802,0.15026105460474046,4.462984246722723,0.5947176399877516,0.48959757918018404,0.8340174788135594,-1,0.9833984375,0.467224169921875,0.312738525390625,0.331270751953125,0.331192822265625,0.8346,0.9989,0.9843,0.9844,32.75889801979065,10.634762287139893
27,0.467026435722739,-1,0.3284653485831568,1.2318682913052834,0.14839325921010163,4.678721799688824,0.6136157795534296,0.498382115768174,0.8350491927841962,-1,0.9835694523180946,0.469014599609375,0.3125390869140625,0.3316328369140625,0.331637841796875,0.8307,0.9991,0.9848,0.9848,33.236701011657715,10.6770761013031
28,0.4626053632315943,-1,0.328905687493793,1.1618310960672669,0.14938795768608482,4.358542749437235,0.5704581050549523,0.4950809802039195,0.8368864544367386,-1,0.9835694523180946,0.46808623046875,0.3125565185546875,0.33109296875,0.330940625,0.8338,0.9988,0.9856,0.9854,32.884270906448364,10.656424283981323
29,0.4635976371118578,-1,0.32894726122839973,1.247236607438427,0.16017695604744603,4.537042132878708,0.6134026090977556,0.49424349251440014,0.8371292372881356,-1,0.9839888103937698,0.463251611328125,0.312578564453125,0.3307300048828125,0.330601220703125,0.8335,0.9989,0.9857,0.9857,31.808698654174805,9.2709641456604
30,0.45602180998204117,-1,0.32917546417753574,1.1082461082329185,0.15620928295588088,4.031491813013109,0.5479918011164261,0.4969982211872683,0.8389885465977556,-1,0.9840715699276682,0.455464208984375,0.31246435546875,0.3294148193359375,0.3294063720703125,0.8373,0.9993,0.9871,0.9874,30.61211919784546,8.8803391456604
31,0.4546192298501225,-1,0.3291217997922736,1.0882992501986228,0.1544942855834961,4.149726479740466,0.5428051059528932,0.49923046564651746,0.8398051504361428,-1,0.9843529523429224,0.455635546875,0.312544189453125,0.3296055908203125,0.3296918701171875,0.8376,0.9991,0.9849,0.9848,28.203373432159424,8.256358861923218
